Case.Number,Time,Date,Location,Accident.Type,Tickets
B7-000725,2017-01-03T14:20:00Z,2017-01-03T06:00:00Z,S 27 bet WILDERNESS HILLS and WHISPERING WIND,NA,NA
B7-000734,2017-01-03T14:50:00Z,2017-01-03T06:00:00Z,O bet 10 and 11,INJURY,NA
B7-000737,2017-01-03T14:44:00Z,2017-01-03T06:00:00Z,HOLDREGE bet N 28 and N 29,NA,B7-000737
B7-000738,2017-01-03T14:54:00Z,2017-01-03T06:00:00Z,S 45 at EAGLE RIDGE RD,NA,NA
B7-000753,2017-01-03T15:40:00Z,2017-01-03T06:00:00Z,O at COTNER,NA,B7-000753
B7-000764,2017-01-03T15:00:00Z,2017-01-03T06:00:00Z,INVERNESS RD / ABERDEEN AV,No report,NA
B7-000767,2017-01-03T15:59:00Z,2017-01-03T06:00:00Z,N 70 bet DUDLEY and STARR,INJURY,B7-000767
B7-000772,2017-01-03T16:35:00Z,2017-01-03T06:00:00Z,S 33 bet YANKEE HILL and,NA,NA
B7-000774,2017-01-03T16:38:00Z,2017-01-03T06:00:00Z,S 27 bet NEBR HWY and WOODS BLVD,NA,B7-000774
B7-000804,2017-01-03T18:13:00Z,2017-01-03T06:00:00Z,N 27 bet T and VINE,NA,B7-000804
B7-000812,2017-01-03T18:35:00Z,2017-01-03T06:00:00Z,NW 48 bet MIKE SCHOLL ST and W CUMING,NA,NA
B7-000845,2017-01-03T00:00:00Z,2017-01-03T06:00:00Z,HUNTINGTON bet N 53 and N 54,H&R,NA
B7-000850,2017-01-03T20:50:00Z,2017-01-03T06:00:00Z,at 2960 PINE LAKE,H&R,B7-000850
B7-000860,2017-01-03T21:50:00Z,2017-01-03T06:00:00Z,at 2300 S 16,INJURY,NA
B7-000865,2017-01-03T22:38:00Z,2017-01-03T06:00:00Z,FAIRFIELD bet HARTLEY and N 20,H&R,NA
B7-000917,2017-01-04T04:10:00Z,2017-01-04T06:00:00Z,MARLENE DR bet S 16 and S 18,NA,B7-000917
B7-000931,2017-01-04T07:51:00Z,2017-01-04T06:00:00Z,N 33 bet N 33 CR and RIDGE PARK DR,NA,B7-000931
B7-000933,2017-01-04T07:55:00Z,2017-01-04T06:00:00Z,N 54 at LEIGHTON,NA,B7-000933
B7-000977,2017-01-04T00:00:00Z,2017-01-04T06:00:00Z,S 40 at SHERIDAN,H&R,NA
B7-000983,2017-01-04T11:35:00Z,2017-01-04T06:00:00Z,VINE bet N 70 and NORTHBOROUGH,NA,B7-000983
B7-000999,2017-01-04T13:17:00Z,2017-01-04T06:00:00Z,13TH ST / N ST,No report,NA
B7-001000,2017-01-04T00:00:00Z,2017-01-04T06:00:00Z,at 116 S 16,H&R,NA
B7-001014,2017-01-04T14:13:00Z,2017-01-04T06:00:00Z,O bet 45 and 46,INJURY,B7-001014
B7-001037,2017-01-04T15:29:00Z,2017-01-04T06:00:00Z,PARK CREST at NORMAL,NA,B7-001037
B7-001078,2017-01-04T15:40:00Z,2017-01-04T06:00:00Z,S 56 bet BANCROFT and CALVERT,H&R,B7-001078
B7-001082,2017-01-04T18:04:00Z,2017-01-04T06:00:00Z,CORNHUSKER bet HAVELOCK and HWY 77,NA,B7-001082
B7-001083,2017-01-04T18:11:00Z,2017-01-04T06:00:00Z,84TH ST / VAN DORN ST ;  EB TURN LANE TO GO,No report,NA
B7-001084,2017-01-04T18:10:00Z,2017-01-04T06:00:00Z,S 40 bet A and B,No report,NA
B7-001096,2017-01-04T19:02:00Z,2017-01-04T06:00:00Z,S 16 bet C and D,NA,B7-001096
B7-001097,2017-01-04T19:10:00Z,2017-01-04T06:00:00Z,N 70 at LEIGHTON,NA,B7-001097
B7-001102,2017-01-04T19:30:00Z,2017-01-04T06:00:00Z,N 1 bet CORNHUSKER and SAUNDERS,NA,B7-001102
B7-001111,2017-01-04T20:00:00Z,2017-01-04T06:00:00Z,P bet N 56 and N COTNER,NA,B7-001111
B7-001114,2017-01-04T20:27:00Z,2017-01-04T06:00:00Z,14TH ST / FLETCHER AVE ; JW,No report,NA
B7-001122,2017-01-04T20:55:00Z,2017-01-04T06:00:00Z,ST ES ER @555 S 70TH ST ; ROOM 24,No report,NA
B7-001129,2017-01-04T21:39:00Z,2017-01-04T06:00:00Z,19TH ST / SUPERIOR ST ;SB NB,No report,NA
B7-001133,2017-01-04T21:43:00Z,2017-01-04T06:00:00Z,S 27 at NEBR HWY,INJURY,B7-001133
B7-001137,2017-01-04T22:26:00Z,2017-01-04T06:00:00Z,18TH ST / D ST,No report,NA
B7-001139,2017-01-04T22:26:00Z,2017-01-04T06:00:00Z,at 635 J,NA,NA
B7-001145,2017-01-04T23:25:00Z,2017-01-04T06:00:00Z,S 48 at NEBR HWY,H&R,NA
B7-001160,2017-01-05T01:46:00Z,2017-01-05T06:00:00Z,W P bet NW ROUNDHOUSE and SUN VALLEY,NA,B7-001160
B7-001168,2017-01-05T05:49:00Z,2017-01-05T06:00:00Z,S 46 bet COOPER and STOCKWELL,H&R,NA
B7-001169,2017-01-05T05:45:00Z,2017-01-05T06:00:00Z,NEBR HWY bet S 27 and PIONEERS,NA,B7-001169
B7-001170,2017-01-05T05:50:00Z,2017-01-05T06:00:00Z,HOLDREGE at N COTNER,H&R,NA
B7-001171,2017-01-05T05:49:00Z,2017-01-05T06:00:00Z,20 at O,NA,B7-001171
B7-001174,2017-01-05T06:35:00Z,2017-01-05T06:00:00Z,W VAN DORN bet FOLSOM CONNECTOR and HOMESTEAD,NA,B7-001174
B7-001179,2017-01-05T07:08:00Z,2017-01-05T06:00:00Z,SUN VALLEY bet OAK and SAUNDERS,NA,B7-001179
B7-001182,2017-01-05T07:33:00Z,2017-01-05T06:00:00Z,S 13 at SOUTH,INJURY,B7-001182
B7-001184,2017-01-05T07:36:00Z,2017-01-05T06:00:00Z,W O bet W 44 and W 48,NA,NA
B7-001186,2017-01-05T07:35:00Z,2017-01-05T06:00:00Z,55TH ST / VINE ST ; NB,No report,NA
B7-001187,2017-01-05T07:41:00Z,2017-01-05T06:00:00Z,19TH ST / SUPERIOR ST,No report,NA
B7-001188,2017-01-05T07:45:00Z,2017-01-05T06:00:00Z,N 20 at CORNHUSKER,NA,NA
B7-001189,2017-01-05T07:39:00Z,2017-01-05T06:00:00Z,70TH ST / LEIGHTON AVE ; WB NS,No report,NA
B7-001190,2017-01-05T07:50:00Z,2017-01-05T06:00:00Z,TAYLOR PARK at L,NA,NA
B7-001192,2017-01-05T08:00:00Z,2017-01-05T06:00:00Z,OLD CHENEY at S 18,NA,B7-001192
B7-001193,2017-01-05T07:54:00Z,2017-01-05T06:00:00Z,N 84 bet LEXINGTON and LEIGHTON,NA,B7-001193
B7-001199,2017-01-05T08:12:00Z,2017-01-05T06:00:00Z,S 56 at PINE LAKE,NA,B7-001199
B7-001203,2017-01-05T07:55:00Z,2017-01-05T06:00:00Z,N COTNER bet ADAMS and CLEVELAND,H&R,NA
B7-001204,2017-01-05T08:48:00Z,2017-01-05T06:00:00Z,VAN DORN bet S 6 and S 9,NA,B7-001204
B7-001205,2017-01-05T08:50:00Z,2017-01-05T06:00:00Z,S 9 bet HIGH and VAN DORN,NA,NA
