Case.Number,Time,Date,Location,Accident.Type,Tickets
B7-067538,2017-08-01T08:07:00Z,2017-08-01T05:00:00Z,W BELMONT bet N 1 and NW 4,NA,B7-067538
B7-067558,2017-08-01T00:00:00Z,2017-08-01T05:00:00Z,SPRUCE bet S 50 and S 52,H&R,NA
B7-067562,2017-08-01T10:04:00Z,2017-08-01T05:00:00Z,N 63 at LEIGHTON,INJURY,B7-067562
B7-067581,2017-08-01T11:10:00Z,2017-08-01T05:00:00Z,900 S 13 at EL CHAPARRO,INJURY,B7-067581
B7-067585,2017-08-01T11:20:00Z,2017-08-01T05:00:00Z,HOJ (HALL OF JUSTICE) @575 S 10TH ST,No report,NA
B7-067592,2017-08-01T11:47:00Z,2017-08-01T05:00:00Z,N 96 bet WHITE PINE RD and YELLOW PINE RD,NA,NA
B7-067595,2017-08-01T12:08:00Z,2017-08-01T05:00:00Z,S 48 bet F and RANDOLPH,NA,B7-067595
B7-067616,2017-08-01T13:30:00Z,2017-08-01T05:00:00Z,PINE LAKE at RIDGE RD,NA,B7-067616
B7-067620,2017-08-01T14:30:00Z,2017-08-01T05:00:00Z,S 27 bet CINDY and OLD CHENEY,INJURY,B7-067620
B7-067625,2017-08-01T00:00:00Z,2017-08-01T05:00:00Z,at 4646 W HUNTINGTO,H&R,NA
B7-067630,2017-08-01T14:50:00Z,2017-08-01T05:00:00Z,S 56 bet M and N,NA,B7-067630
B7-067631,2017-08-01T00:00:00Z,2017-08-01T05:00:00Z,PAWNEE bet S 14 and S 16,H&R,NA
B7-067647,2017-08-01T15:49:00Z,2017-08-01T05:00:00Z,N 27 bet FAIRFIELD and KNOX,NA,B7-067647
B7-067653,2017-08-01T16:15:00Z,2017-08-01T05:00:00Z,S 27 bet JAMESON NORTH and TIERRA,NA,NA
B7-067673,2017-08-01T15:30:00Z,2017-08-01T05:00:00Z,at 1601 N 84,H&R,NA
B7-067677,2017-08-01T17:18:00Z,2017-08-01T05:00:00Z,S ANTELOPE VALL bet N and O,NA,NA
B7-067678,2017-08-01T16:40:00Z,2017-08-01T05:00:00Z,at 4601 SHIRL CT,H&R,NA
B7-067681,2017-08-01T17:31:00Z,2017-08-01T05:00:00Z,S CODDINGTON AVE / W SOUTH ST ; WB,No report,NA
B7-067723,2017-08-01T00:00:00Z,2017-08-01T05:00:00Z,S 10 bet N and O,NA,B7-067723
B7-067735,2017-08-01T00:00:00Z,2017-08-01T05:00:00Z,W VANCE bet NW 51 and W SUPERIOR,H&R,NA
B7-067740,2017-08-01T20:21:00Z,2017-08-01T05:00:00Z,S 33 bet N and O,NA,NA
B7-067855,2017-08-02T06:43:00Z,2017-08-02T05:00:00Z,S 70 at OLD CHENEY,NA,NA
B7-067861,2017-08-02T06:42:00Z,2017-08-02T05:00:00Z,2510 S 48 at U-HAUL,H&R,B7-067861
B7-067871,2017-08-02T08:15:00Z,2017-08-02T05:00:00Z,NEBR HWY bet OLD CHENEY and APPLES WAY,NA,B7-067871
B7-067872,2017-08-02T08:22:00Z,2017-08-02T05:00:00Z,CENTENNIAL MALL / M ST ; EB,No report,NA
B7-067877,2017-08-02T08:46:00Z,2017-08-02T05:00:00Z,1150 N 83RD ST ; CAPITAL FOOT,No report,NA
B7-067881,2017-08-02T08:55:00Z,2017-08-02T05:00:00Z,N 70 at P,NA,B7-067881
B7-067884,2017-08-02T08:55:00Z,2017-08-02T05:00:00Z,N 56 bet MORTON and RUSSELL,NA,B7-067884
B7-067895,2017-08-02T09:24:00Z,2017-08-02T05:00:00Z,K bet S 17 and S 18,NA,B7-067895
B7-067908,2017-08-02T09:00:00Z,2017-08-02T05:00:00Z,HOLDREGE bet N 50 and N 51,H&R,B7-067908
B7-067923,2017-08-02T10:30:00Z,2017-08-02T05:00:00Z,1610 S 70TH ST ; EYE SURGICAL ASSC.,No report,NA
B7-067936,2017-08-02T11:00:00Z,2017-08-02T05:00:00Z,NORMAL at S 40,NA,B7-067936
B7-067955,2017-08-02T12:17:00Z,2017-08-02T05:00:00Z,PINE LAKE bet RIDGE RD and S 27,NA,B7-067955
B7-067966,2017-08-02T13:18:00Z,2017-08-02T05:00:00Z,S 9 bet PEACH and PLUM,INJURY,B7-067966
B7-067967,2017-08-02T00:00:00Z,2017-08-02T05:00:00Z,WASHINGTON bet S 13 and S 14,H&R,NA
B7-067974,2017-08-02T13:32:00Z,2017-08-02T05:00:00Z,S 56 bet OLD CHENEY and NEBR HWY,NA,B7-067974
B7-067983,2017-08-02T13:58:00Z,2017-08-02T05:00:00Z,N 23 at P,NA,B7-067983
B7-067993,2017-08-02T14:38:00Z,2017-08-02T05:00:00Z,56 at O,INJURY,B7-067993
B7-068005,2017-08-02T15:43:00Z,2017-08-02T05:00:00Z,SW 6TH ST / W B ST ; JN,No report,NA
B7-068040,2017-08-02T00:00:00Z,2017-08-02T05:00:00Z,at 110 COLLEGE PARK,H&R,NA
B7-068048,2017-08-02T17:34:00Z,2017-08-02T05:00:00Z,PINE LAKE bet RIDGE RD and S 27,INJURY,B7-068048
B7-068049,2017-08-02T17:37:00Z,2017-08-02T05:00:00Z,OLD CHENEY bet WARLICK and S 14,NA,B7-068049
B7-068050,2017-08-02T17:38:00Z,2017-08-02T05:00:00Z,N 48 at ADAMS,INJURY,B7-068050
B7-068053,2017-08-02T16:30:00Z,2017-08-02T05:00:00Z,at 4700 N 27 ST,H&R,NA
B7-068054,2017-08-02T00:00:00Z,2017-08-02T05:00:00Z,at UNKNOWN,H&R,NA
B7-068059,2017-08-02T00:00:00Z,2017-08-02T05:00:00Z,at UNKNOWN,H&R,NA
B7-068084,2017-08-02T16:50:00Z,2017-08-02T05:00:00Z,N 14 bet ADAMS and NELSON,NA,NA
B7-068103,2017-08-02T20:35:00Z,2017-08-02T05:00:00Z,J & RANDOLPH at S 29 & S 30,H&R,B7-068103
B7-068105,2017-08-02T20:50:00Z,2017-08-02T05:00:00Z,S 11 at M,NA,B7-068105
B7-068195,2017-08-03T06:35:00Z,2017-08-03T05:00:00Z,W ZEAMER bet NW 52 and W KINGSLEY,NA,B7-068195
B7-068197,2017-08-03T06:46:00Z,2017-08-03T05:00:00Z,48TH ST / NEWTON ST ;ES,No report,NA
B7-068201,2017-08-03T00:00:00Z,2017-08-03T05:00:00Z,1040 P ST bet EMBASSY SUITES and PARKING LOT,H&R,NA
B7-068209,2017-08-03T00:00:00Z,2017-08-03T05:00:00Z,AYLESWORTH bet N 56 and N 57,H&R,NA
B7-068216,2017-08-03T08:56:00Z,2017-08-03T05:00:00Z,23RD ST / VINE ST,No report,NA
B7-068219,2017-08-03T09:00:00Z,2017-08-03T05:00:00Z,ADAMS bet N 56 and N 57,NA,B7-068219
B7-068220,2017-08-03T09:00:00Z,2017-08-03T05:00:00Z,S 84 bet CHESTNUT and O,NA,B7-068220
B7-068234,2017-08-03T10:11:00Z,2017-08-03T05:00:00Z,CORNHUSKER bet N 44 and N 48,INJURY,B7-068234
B7-068246,2017-08-03T00:00:00Z,2017-08-03T05:00:00Z,at 4600 BRIARPARK,H&R,NA
B7-068253,2017-08-03T11:00:00Z,2017-08-03T05:00:00Z,S 56 bet S COTNER and VALLEY,NA,B7-068253
B7-068268,2017-08-03T12:00:00Z,2017-08-03T05:00:00Z,O bet 66 and 68,NA,B7-068268
B7-068276,2017-08-03T12:09:00Z,2017-08-03T05:00:00Z,PROGRESSIVE bet N 48 and PIERCE,NA,B7-068276
B7-068286,2017-08-03T13:09:00Z,2017-08-03T05:00:00Z,401 S 46TH ST,No report,NA
B7-068302,2017-08-03T14:40:00Z,2017-08-03T05:00:00Z,S 33 at NEBR HWY,NA,B7-068302
B7-068304,2017-08-03T14:49:00Z,2017-08-03T05:00:00Z,S 70 bet MONTEREY and SUMNER,NA,B7-068304
B7-068310,2017-08-03T00:00:00Z,2017-08-03T05:00:00Z,AYLESWORTH bet N 49 and N 50,NA,B7-068310
B7-068313,2017-08-03T14:36:00Z,2017-08-03T05:00:00Z,17 at O,H&R,NA
B7-068315,2017-08-03T15:05:00Z,2017-08-03T05:00:00Z,S 56 bet A and MARGO,NA,B7-068315
B7-068318,2017-08-03T14:53:00Z,2017-08-03T05:00:00Z,W VAN DORN bet PARK BLVD and HOMESTEAD EXP,NA,B7-068318
B7-068321,2017-08-03T15:32:00Z,2017-08-03T05:00:00Z,USTOP @3244 CORNHUSKER HWY,No report,NA
B7-068334,2017-08-03T16:20:00Z,2017-08-03T05:00:00Z,O bet 3 (OVERPASS) and 9,INJURY,NA
B7-068343,2017-08-03T17:00:00Z,2017-08-03T05:00:00Z,S 27 bet NEBR HWY and PICCADILLY,INJURY,B7-068343
B7-068353,2017-08-03T00:00:00Z,2017-08-03T05:00:00Z,O bet 22 and 23,H&R,NA
B7-068357,2017-08-03T17:26:00Z,2017-08-03T05:00:00Z,S 56 at PINE LAKE,NA,B7-068357
B7-068364,2017-08-03T17:30:00Z,2017-08-03T05:00:00Z,S 70 at LINCOLNSHIRE,INJURY,B7-068364
B7-068368,2017-08-03T17:43:00Z,2017-08-03T05:00:00Z,S 56 bet LILLIBRIDGE and ROOSE,NA,B7-068368
B7-068376,2017-08-03T18:19:00Z,2017-08-03T05:00:00Z,S 56 bet SAYLOR and SOUTH,NA,B7-068376
B7-068390,2017-08-03T00:00:00Z,2017-08-03T05:00:00Z,at UNKNOWN,H&R,NA
B7-068392,2017-08-03T18:57:00Z,2017-08-03T05:00:00Z,S 16 at PROSPECT,NA,B7-068392
B7-068423,2017-08-03T20:31:00Z,2017-08-03T05:00:00Z,S 18 at L,NA,B7-068423
B7-068430,2017-08-03T20:50:00Z,2017-08-03T05:00:00Z,N 1 at FAIRFIELD,NA,B7-068430
B7-068432,2017-08-03T19:30:00Z,2017-08-03T05:00:00Z,at 606 W A,INJURY,NA
B7-068442,2017-08-03T22:07:00Z,2017-08-03T05:00:00Z,S 27 at A,NA,B7-068442
B7-068447,2017-08-03T22:20:00Z,2017-08-03T05:00:00Z,N 27 bet CLEVELAND and CORNHUSKER,H&R,NA
B7-068456,2017-08-03T22:48:00Z,2017-08-03T05:00:00Z,WELLS FARGO BANK @1248 O ST,No report,NA
B7-068461,2017-08-03T00:00:00Z,2017-08-03T05:00:00Z,at GUNNERS RUN,H&R,NA
B7-068517,2017-08-04T06:35:00Z,2017-08-04T05:00:00Z,N 56 at VINE,NA,B7-068517
B7-068527,2017-08-04T07:29:00Z,2017-08-04T05:00:00Z,CAPITOL PKWY W bet S 9 and S FOLSOM,NA,NA
B7-068535,2017-08-04T08:00:00Z,2017-08-04T05:00:00Z,S 56 at A,NA,B7-068535
B7-068541,2017-08-04T08:38:00Z,2017-08-04T05:00:00Z,ARBYS @4300 S 27TH ST,No report,NA
B7-068543,2017-08-04T08:45:00Z,2017-08-04T05:00:00Z,S 70 bet SHAMROCK and VAN DORN,NA,B7-068543
B7-068587,2017-08-04T11:05:00Z,2017-08-04T05:00:00Z,N 70 at VINE,NA,NA
B7-068608,2017-08-04T11:59:00Z,2017-08-04T05:00:00Z,SW 15 bet W GARFIELD and WESTMONT,NA,NA
B7-068617,2017-08-04T12:20:00Z,2017-08-04T05:00:00Z,S 40 at OLD CHENEY,INJURY,B7-068617
B7-068639,2017-08-04T14:25:00Z,2017-08-04T05:00:00Z,NORMAL bet S 54 and S 55,H&R,B7-068639
B7-068643,2017-08-04T14:30:00Z,2017-08-04T05:00:00Z,SHERMAN bet S 27 and S 28,NA,NA
B7-068650,2017-08-04T15:30:00Z,2017-08-04T05:00:00Z,N ANTELOPE VALLEY PKY / SALT CREEK RDWY ; JS,NA,NA
B7-068653,2017-08-04T15:35:00Z,2017-08-04T05:00:00Z,HOMESTEAD EXP bet ROSA PARKS WAY and W O,INJURY,NA
B7-068668,2017-08-04T16:28:00Z,2017-08-04T05:00:00Z,SUPERIOR bet BAIR and N 33,INJURY,B7-068668
B7-068669,2017-08-04T16:00:00Z,2017-08-04T05:00:00Z,N 61 at MORRILL,INJURY,NA
B7-068671,2017-08-04T16:42:00Z,2017-08-04T05:00:00Z,S 84 at FOXTAIL DR,INJURY,B7-068671
B7-068679,2017-08-04T16:56:00Z,2017-08-04T05:00:00Z,MERRILL at GRIFFITH,NA,NA
B7-068685,2017-08-04T17:28:00Z,2017-08-04T05:00:00Z,O bet 34 and 35,NA,B7-068685
B7-068686,2017-08-04T17:26:00Z,2017-08-04T05:00:00Z,bet  and,NA,B7-068686
B7-068695,2017-08-04T17:45:00Z,2017-08-04T05:00:00Z,HWY 77 bet CORNHUSKER and RUSSELL,NA,B7-068695
B7-068700,2017-08-04T17:58:00Z,2017-08-04T05:00:00Z,2600 O ST ; JW EB,No report,NA
B7-068703,2017-08-04T18:08:00Z,2017-08-04T05:00:00Z,NEBR HWY bet S 66 and S 70,NA,NA
B7-068724,2017-08-04T18:50:00Z,2017-08-04T05:00:00Z,S 21 bet C and D,H&R,NA
B7-068727,2017-08-04T19:05:00Z,2017-08-04T05:00:00Z,W 20 at W O,NA,B7-068727
B7-068742,2017-08-04T15:30:00Z,2017-08-04T05:00:00Z,7151 STACY LANE at HYVEE,H&R,NA
B7-068762,2017-08-04T21:09:00Z,2017-08-04T05:00:00Z,PINE LAKE at BEAVER CREEK LN,NA,B7-068762
B7-068770,2017-08-04T21:30:00Z,2017-08-04T05:00:00Z,S 46 bet A and MOHAWK,H&R,NA
B7-068849,2017-08-05T02:18:00Z,2017-08-05T05:00:00Z,W BUTLER bet BLUE FLAME and BLUE FLAME,INJURY    H&R,B7-068849
B7-068892,2017-08-05T07:42:00Z,2017-08-05T05:00:00Z,S 40 bet SMITH and VAN DORN,INJURY,B7-068892
B7-068915,2017-08-05T11:24:00Z,2017-08-05T05:00:00Z,N 27 bet FAIRFIELD and OLD DAIRY RD,INJURY,B7-068915
B7-068926,2017-08-05T12:37:00Z,2017-08-05T05:00:00Z,14TH ST / SALTILLO RD; E OF,No report,NA
B7-068950,2017-08-05T00:00:00Z,2017-08-05T05:00:00Z,at 505 S 27,H&R,NA
B7-068964,2017-08-05T15:20:00Z,2017-08-05T05:00:00Z,6001 VILLAGE DR at HYVEE,INJURY,NA
B7-068982,2017-08-05T12:45:00Z,2017-08-05T05:00:00Z,at 301 N 44,H&R,NA
B7-068985,2017-08-05T00:00:00Z,2017-08-05T05:00:00Z,at SOUTH POINT MALL,H&R,NA
B7-068989,2017-08-05T17:15:00Z,2017-08-05T05:00:00Z,W O bet 1 and SUN VALLEY,No report H&R,NA
B7-069001,2017-08-05T00:00:00Z,2017-08-05T05:00:00Z,at 220 N 66,H&R,NA
B7-069017,2017-08-05T00:00:00Z,2017-08-05T05:00:00Z,at 120 N 66TH ST,H&R,NA
B7-069019,2017-08-05T19:06:00Z,2017-08-05T05:00:00Z,CENTENNIAL MALL / O ST,No report,NA
B7-069028,2017-08-05T00:00:00Z,2017-08-05T05:00:00Z,at HYVEE N 27 ST,H&R,NA
B7-069189,2017-08-06T00:00:00Z,2017-08-06T05:00:00Z,VINE bet N 21 and N 22,NA,B7-069189
B7-069212,2017-08-06T09:10:00Z,2017-08-06T05:00:00Z,SUPERIOR bet N 24 and N 27,H&R,NA
B7-069275,2017-08-06T14:29:00Z,2017-08-06T05:00:00Z,VON MAUR @2900 PINE LAKE RD ; SS PARKING LOT,No report,NA
B7-069277,2017-08-06T14:29:00Z,2017-08-06T05:00:00Z,N 27 bet OLD DAIRY RD and DAN,NA,B7-069277
B7-069284,2017-08-06T14:29:00Z,2017-08-06T05:00:00Z,N 27 at OLD DAIRY RD,NA,B7-069284
B7-069315,2017-08-06T16:43:00Z,2017-08-06T05:00:00Z,S 11 at L,H&R,NA
B7-069319,2017-08-06T16:45:00Z,2017-08-06T05:00:00Z,N 24 bet DUDLEY and ORCHARD,NA,B7-069319
B7-069324,2017-08-06T17:10:00Z,2017-08-06T05:00:00Z,S 56 bet NEBR HWY and SHADY CREEK,H&R,B7-069324
B7-069381,2017-08-06T00:00:00Z,2017-08-06T05:00:00Z,CAPITOL BEACH bet SURFSIDE and W S,H&R,NA
B7-069387,2017-08-06T00:00:00Z,2017-08-06T05:00:00Z,BROADMOORE bet RUSTY and SUMNER,H&R,NA
B7-069411,2017-08-06T00:00:00Z,2017-08-06T05:00:00Z,LONDON bet S 49 and S 53,NA,NA
B7-069480,2017-08-07T06:40:00Z,2017-08-07T05:00:00Z,HWY 34 bet W FLETCHER and FALLBROOK BLVD,NA,B7-069480
B7-069489,2017-08-07T07:46:00Z,2017-08-07T05:00:00Z,NORMAL bet FRANKLIN and SOUTH,NA,B7-069489
B7-069490,2017-08-07T07:40:00Z,2017-08-07T05:00:00Z,NEBR HWY bet OLD CHENEY and S 56,NA,B7-069490
B7-069511,2017-08-07T09:15:00Z,2017-08-07T05:00:00Z,at 233 N 48,H&R,NA
B7-069516,2017-08-07T00:00:00Z,2017-08-07T05:00:00Z,G bet S 10 and S 9,H&R,NA
B7-069517,2017-08-07T09:56:00Z,2017-08-07T05:00:00Z,S 33 bet N and O,INJURY,B7-069517
B7-069529,2017-08-07T10:46:00Z,2017-08-07T05:00:00Z,S 9 at M,NA,B7-069529
B7-069531,2017-08-07T10:40:00Z,2017-08-07T05:00:00Z,E bet S 14 and GOODHUE BLVD,NA,B7-069531
B7-069544,2017-08-07T11:25:00Z,2017-08-07T05:00:00Z,HOLDREGE bet N 33 and N 34,NA,B7-069544
B7-069566,2017-08-07T12:47:00Z,2017-08-07T05:00:00Z,S 9 at L,NA,B7-069566
B7-069572,2017-08-07T13:00:00Z,2017-08-07T05:00:00Z,P bet N 11 and N 12,NA,B7-069572
B7-069595,2017-08-07T14:27:00Z,2017-08-07T05:00:00Z,N ANTELOPE VALL bet CORNHUSKER and DAWES,NA,B7-069595
B7-069607,2017-08-07T11:30:00Z,2017-08-07T05:00:00Z,N 25 bet LYNN and VINE,H&R,NA
B7-069615,2017-08-07T14:28:00Z,2017-08-07T05:00:00Z,NEBR HWY bet S 48 and S 56,H&R,NA
B7-069618,2017-08-07T15:25:00Z,2017-08-07T05:00:00Z,O bet 40 and 42,H&R,NA
B7-069623,2017-08-07T15:40:00Z,2017-08-07T05:00:00Z,S 70 bet MONTEREY and SUMNER,INJURY,B7-069623
B7-069635,2017-08-07T16:09:00Z,2017-08-07T05:00:00Z,70TH ST / SUMNER ST,No report,NA
B7-069643,2017-08-07T16:20:00Z,2017-08-07T05:00:00Z,ADAMS bet N 64 and N 65,NA,B7-069643
B7-069645,2017-08-07T16:35:00Z,2017-08-07T05:00:00Z,S 40 bet CHAPIN and PRESCOTT,NA,B7-069645
B7-069646,2017-08-07T16:40:00Z,2017-08-07T05:00:00Z,S 48 bet ANTELOPE CREEK and VAN DORN,INJURY,B7-069646
B7-069654,2017-08-07T16:45:00Z,2017-08-07T05:00:00Z,N 14 at SUPERIOR,H&R,B7-069654
B7-069661,2017-08-07T17:10:00Z,2017-08-07T05:00:00Z,S 20 at K,NA,B7-069661
B7-069662,2017-08-07T17:15:00Z,2017-08-07T05:00:00Z,N 84 at HOLDREGE,NA,B7-069662
B7-069665,2017-08-07T17:26:00Z,2017-08-07T05:00:00Z,S 70 bet PIONEER WOODS DR and PIONEERS,INJURY,B7-069665
B7-069696,2017-08-07T18:49:00Z,2017-08-07T05:00:00Z,PIONEERS bet RIDGEVIEW and S 70,NA,B7-069696
B7-069743,2017-08-07T20:39:00Z,2017-08-07T05:00:00Z,VAN DORN bet S 39 and S 40,NA,B7-069743
B7-069773,2017-08-07T21:40:00Z,2017-08-07T05:00:00Z,at 3220 APPLE,H&R,NA
B7-069858,2017-08-08T07:08:00Z,2017-08-08T05:00:00Z,MCDONALDS RESTAURANT @5327 CORNHUSKER HWY,No report,NA
B7-069863,2017-08-08T07:19:00Z,2017-08-08T05:00:00Z,S 13 bet HUDSON and SOUTH,INJURY,B7-069863
B7-069867,2017-08-08T07:52:00Z,2017-08-08T05:00:00Z,56TH ST / PINE LAKE RD ; JW EB,No report,NA
B7-069901,2017-08-08T10:10:00Z,2017-08-08T05:00:00Z,S 33 at PIONEERS,NA,B7-069901
B7-069905,2017-08-08T10:25:00Z,2017-08-08T05:00:00Z,S 48 bet L and M,NA,B7-069905
B7-069907,2017-08-08T10:40:00Z,2017-08-08T05:00:00Z,N 84 bet BLUE SKY and COLLEGE PARK RD,NA,B7-069907
B7-069932,2017-08-08T11:40:00Z,2017-08-08T05:00:00Z,at 4437 N 26,H&R,B7-069932
B7-069933,2017-08-08T11:45:00Z,2017-08-08T05:00:00Z,O bet 63 and 66,NA,B7-069933
B7-069946,2017-08-08T12:38:00Z,2017-08-08T05:00:00Z,SHOEMAKERS TRUCK STOP *NEW* @151 SW 48TH ST,No report,NA
B7-069950,2017-08-08T12:50:00Z,2017-08-08T05:00:00Z,27TH ST / THERESA ST ;FACING EB,No report,NA
B7-069963,2017-08-08T13:17:00Z,2017-08-08T05:00:00Z,S 78 at GLYNOAKS,INJURY,NA
B7-069964,2017-08-08T13:37:00Z,2017-08-08T05:00:00Z,PINE LAKE at S 30,INJURY,B7-069964
B7-069968,2017-08-08T14:06:00Z,2017-08-08T05:00:00Z,S bet N 15 and N 16,NA,B7-069968
B7-069975,2017-08-08T08:00:00Z,2017-08-08T05:00:00Z,S 27 & S 28 at A & WASHINGTON,H&R,NA
B7-069987,2017-08-08T14:48:00Z,2017-08-08T05:00:00Z,S 8 at J,NA,B7-069987
B7-069988,2017-08-08T14:30:00Z,2017-08-08T05:00:00Z,at 6000 HOLMES SOUT,NA,NA
B7-069999,2017-08-08T15:48:00Z,2017-08-08T05:00:00Z,S 52 at PRESCOTT,INJURY,B7-069999
B7-070012,2017-08-08T16:20:00Z,2017-08-08T05:00:00Z,S 17 bet PROSPECT and SUMNER,NA,B7-070012
B7-070014,2017-08-08T15:40:00Z,2017-08-08T05:00:00Z,W CORNHUSKER bet N 1 and NW 4,H&R,NA
B7-070016,2017-08-08T16:24:00Z,2017-08-08T05:00:00Z,N 27 at P,INJURY,B7-070016
B7-070021,2017-08-08T16:42:00Z,2017-08-08T05:00:00Z,NEBR HWY bet S 27 and SOUTHWOOD DR,NA,B7-070021
B7-070025,2017-08-08T16:52:00Z,2017-08-08T05:00:00Z,N 45 bet VINE and W,NA,B7-070025
B7-070046,2017-08-08T00:00:00Z,2017-08-08T05:00:00Z,K bet S 14 and S 16,H&R,NA
B7-070047,2017-08-08T17:50:00Z,2017-08-08T05:00:00Z,S 46 at PIONEERS,NA,B7-070047
B7-070061,2017-08-08T00:00:00Z,2017-08-08T05:00:00Z,ALMIRA bet S 66 and S 70,H&R,NA
B7-070062,2017-08-08T17:44:00Z,2017-08-08T05:00:00Z,1340 N 44TH ST,No report,NA
B7-070067,2017-08-08T18:34:00Z,2017-08-08T05:00:00Z,ST ES ER @555 S 70TH ST,No report,NA
B7-070077,2017-08-08T19:02:00Z,2017-08-08T05:00:00Z,N 12 at CLAREMONT,INJURY,B7-070077
B7-070078,2017-08-08T19:00:00Z,2017-08-08T05:00:00Z,N 66 bet JUDSON and KNOX,INJURY,B7-070078
B7-070092,2017-08-08T19:30:00Z,2017-08-08T05:00:00Z,N 84 bet HOLDREGE and LEXINGTON,NA,B7-070092
B7-070097,2017-08-08T00:00:00Z,2017-08-08T05:00:00Z,S 27 bet CABLE and SOUTH,INJURY,B7-070097
B7-070214,2017-08-09T07:30:00Z,2017-08-09T05:00:00Z,56 at O,NA,B7-070214
B7-070216,2017-08-09T07:44:00Z,2017-08-09T05:00:00Z,H bet S 10 and S 9,NA,NA
B7-070217,2017-08-09T00:00:00Z,2017-08-09T05:00:00Z,C bet S 14 and GOODHUE BLVD,H&R,NA
B7-070221,2017-08-09T08:00:00Z,2017-08-09T05:00:00Z,W LANDER DR bet W SILVERADO DR and NW TEMPEST,NA,NA
B7-070225,2017-08-09T08:15:00Z,2017-08-09T05:00:00Z,GRACE bet HOLDREGE and POTTER,NA,NA
B7-070238,2017-08-09T09:06:00Z,2017-08-09T05:00:00Z,7833 BARRINGTON PL,No report,NA
B7-070239,2017-08-09T09:20:00Z,2017-08-09T05:00:00Z,ROSE bet S 11 and S 12,H&R,NA
B7-070260,2017-08-09T00:00:00Z,2017-08-09T05:00:00Z,SUMNER bet S 51 and S 52,H&R,NA
B7-070286,2017-08-09T11:40:00Z,2017-08-09T05:00:00Z,S CODDINGTON at ROSA PARKS WAY,INJURY,B7-070286
B7-070293,2017-08-09T12:02:00Z,2017-08-09T05:00:00Z,S 70 bet NORMAL and VAN DORN,NA,B7-070293
B7-070308,2017-08-09T12:35:00Z,2017-08-09T05:00:00Z,STEVENS RIDGE bet S 70 and S 72,NA,B7-070308
B7-070309,2017-08-09T12:54:00Z,2017-08-09T05:00:00Z,CORNHUSKER bet FLETCHER and N 84,NA,B7-070309
B7-070312,2017-08-09T12:45:00Z,2017-08-09T05:00:00Z,S 10 bet F and G,NA,B7-070312
B7-070314,2017-08-09T13:04:00Z,2017-08-09T05:00:00Z,S 9 at WASHINGTON,H&R,B7-070314
B7-070332,2017-08-09T14:05:00Z,2017-08-09T05:00:00Z,N 14 at CORNHUSKER,NA,B7-070332
B7-070346,2017-08-09T15:10:00Z,2017-08-09T05:00:00Z,11TH ST / N ST ; JE,No report,NA
B7-070350,2017-08-09T15:17:00Z,2017-08-09T05:00:00Z,"NEBRASKA 2 HWY / OLD CHENEY RD ; SB, JN",No report,NA
B7-070352,2017-08-09T15:07:00Z,2017-08-09T05:00:00Z,S 16 at F,NA,B7-070352
B7-070360,2017-08-09T15:40:00Z,2017-08-09T05:00:00Z,14TH ST / 2 HWY,No report,NA
B7-070373,2017-08-09T00:00:00Z,2017-08-09T05:00:00Z,at UNKNOWN,H&R,NA
B7-070389,2017-08-09T16:53:00Z,2017-08-09T05:00:00Z,N 70 at ADAMS,INJURY,B7-070389
B7-070393,2017-08-09T17:00:00Z,2017-08-09T05:00:00Z,N 27 bet FAIRFIELD and OLD DAIRY RD,INJURY,B7-070393
B7-070415,2017-08-09T18:08:00Z,2017-08-09T05:00:00Z,SOUTH bet S 47 and S 48,INJURY,B7-070415
B7-070438,2017-08-09T19:12:00Z,2017-08-09T05:00:00Z,A bet CHAUTAUQUA and S 33,NA,B7-070438
B7-070441,2017-08-09T00:00:00Z,2017-08-09T05:00:00Z,E bet S 26 and S 27,NA,B7-070441
B7-070464,2017-08-09T20:47:00Z,2017-08-09T05:00:00Z,N 7 bet SUPERIOR and IRVING,INJURY,B7-070464
B7-070466,2017-08-09T00:00:00Z,2017-08-09T05:00:00Z,L bet S ANTELOPE VALL and S 20,H&R,NA
B7-070482,2017-08-09T21:46:00Z,2017-08-09T05:00:00Z,N 70 bet MCCORMICK and CITY LIMITS,NA,B7-070482
B7-070559,2017-08-10T06:35:00Z,2017-08-10T05:00:00Z,N 56 at HARTLEY,NA,B7-070559
B7-070563,2017-08-10T07:12:00Z,2017-08-10T05:00:00Z,10 at O,INJURY,B7-070563
B7-070565,2017-08-10T07:32:00Z,2017-08-10T05:00:00Z,GARFIELD bet S 26 and S 27,NA,NA
B7-070571,2017-08-10T07:45:00Z,2017-08-10T05:00:00Z,N 9 bet R and S,NA,B7-070571
B7-070574,2017-08-10T07:45:00Z,2017-08-10T05:00:00Z,I 180 bet CORNHUSKER and R,NA,NA
B7-070575,2017-08-10T07:40:00Z,2017-08-10T05:00:00Z,I 180 bet CORNHUSKER and R,INJURY,B7-070575
B7-070583,2017-08-10T08:35:00Z,2017-08-10T05:00:00Z,N bet S 23 and S 25,NA,B7-070583
B7-070592,2017-08-10T09:11:00Z,2017-08-10T05:00:00Z,S 27 at PINE LAKE,NA,B7-070592
B7-070597,2017-08-10T09:34:00Z,2017-08-10T05:00:00Z,N 11 at ADAMS,H&R,B7-070597
B7-070605,2017-08-10T10:12:00Z,2017-08-10T05:00:00Z,TICONDEROGA at N 27,NA,B7-070605
